epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7636,1.29292,1.31142,1.42118,0.72334,0.6342,0.71178,0.36527,1.5173,1.4877,1.67144,0.000328889,0.000328889,0.000328889
2,26.6905,1.33738,1.31901,1.42916,0.61023,0.61628,0.65246,0.31118,1.61122,1.54527,1.76823,0.000655666,0.000655666,0.000655666
3,37.5174,1.35748,1.37646,1.44115,0.61359,0.59108,0.61329,0.28703,1.65216,1.69078,1.82569,0.000975844,0.000975844,0.000975844
4,48.2741,1.38598,1.3869,1.46079,0.72323,0.46637,0.56886,0.24894,1.71756,1.73204,1.83668,0.0009703,0.0009703,0.0009703
5,59.082,1.37498,1.37984,1.47486,0.58766,0.6246,0.65078,0.3078,1.64335,1.62653,1.75969,0.0009604,0.0009604,0.0009604
6,69.9532,1.37852,1.36656,1.45141,0.60918,0.51333,0.5749,0.2708,1.76865,1.81645,1.87952,0.0009505,0.0009505,0.0009505
7,80.7913,1.40786,1.38945,1.46594,0.5022,0.64288,0.54032,0.25765,1.63216,1.75661,1.77392,0.0009406,0.0009406,0.0009406
8,91.7837,1.392,1.33716,1.47673,0.61875,0.66146,0.66891,0.31697,1.6372,1.53076,1.77253,0.0009307,0.0009307,0.0009307
9,102.676,1.36791,1.33302,1.45669,0.6909,0.64917,0.69752,0.3406,1.65081,1.36532,1.80157,0.0009208,0.0009208,0.0009208
10,113.559,1.39123,1.33657,1.46203,0.64624,0.60398,0.67118,0.31953,1.67487,1.4737,1.78329,0.0009109,0.0009109,0.0009109
11,124.47,1.35433,1.30395,1.45112,0.69632,0.61039,0.65254,0.31954,1.66623,1.51916,1.84033,0.000901,0.000901,0.000901
12,135.386,1.35101,1.3109,1.4487,0.65117,0.64074,0.68965,0.33659,1.57471,1.41407,1.74251,0.0008911,0.0008911,0.0008911
13,146.372,1.32938,1.23817,1.42827,0.65463,0.63728,0.69617,0.35604,1.51326,1.46686,1.65878,0.0008812,0.0008812,0.0008812
14,157.296,1.34931,1.26367,1.44291,0.54961,0.63097,0.6218,0.27626,1.70388,1.55799,1.79992,0.0008713,0.0008713,0.0008713
15,168.466,1.35433,1.28866,1.44539,0.71442,0.62568,0.69878,0.34186,1.58666,1.43483,1.73551,0.0008614,0.0008614,0.0008614
16,179.452,1.32153,1.2237,1.41602,0.72841,0.63044,0.6994,0.35124,1.61569,1.37501,1.73104,0.0008515,0.0008515,0.0008515
17,190.445,1.33515,1.2371,1.42856,0.79733,0.6211,0.74496,0.37785,1.55834,1.32545,1.72776,0.0008416,0.0008416,0.0008416
